codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_tipo;ocorrencia_tipo_categoria;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;investigacao_status
201305055424986;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ARIQUEMES;RO;BRASIL;FINALIZADA
201805021421302;INCIDENTE;AERÓDROMO;AERÓDROMO;CACOAL;RO;BRASIL;FINALIZADA
201605160250139;INCIDENTE GRAVE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CACOAL;RO;BRASIL;FINALIZADA
201311259977425;INCIDENTE GRAVE;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA;CACOAL;RO;BRASIL;FINALIZADA
201103187273112;INCIDENTE;OUTROS;OUTROS;CEREJEIRAS;RO;BRASIL;FINALIZADA
200902274965349;INCIDENTE;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;AMAJARI;RR;BRASIL;FINALIZADA
201604251335501;INCIDENTE GRAVE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;AMAJARI;RR;BRASIL;ATIVA
201604062021424;ACIDENTE;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;AMAJARI;RR;BRASIL;FINALIZADA
201108118145873;ACIDENTE;POUSO LONGO;EXCURSÃO DE PISTA;AMAJARI;RR;BRASIL;FINALIZADA
200912289948837;ACIDENTE;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;ACEGUÁ;RS;BRASIL;FINALIZADA
201904101638476;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ABADIA DE GOIÁS;GO;BRASIL;ATIVA
201211159478138;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ABADIA DE GOIÁS;GO;BRASIL;FINALIZADA
201208018273083;ACIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ALTO ALEGRE;RR;BRASIL;FINALIZADA
201104061447671;ACIDENTE;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;ALTO ALEGRE;RR;BRASIL;FINALIZADA
201106206058374;INCIDENTE;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;ALTO ALEGRE;RR;BRASIL;FINALIZADA
201111224132085;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ALTO ALEGRE;RR;BRASIL;FINALIZADA
201006099196125;ACIDENTE;INDETERMINADO;INDETERMINADO;ALTO ALEGRE;RR;BRASIL;ATIVA
201009213278405;ACIDENTE;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;ALTO ALEGRE;RR;BRASIL;FINALIZADA
201407101908656;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ALTO ALEGRE;RR;BRASIL;FINALIZADA
201609191241236;ACIDENTE;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;ANAMÃ;AM;BRASIL;FINALIZADA
201806151358172;INCIDENTE;VAZAMENTO DE OUTROS FLUIDOS;OUTROS;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
